"id","UTMX","UTMY"
NA,46.818,3900.558
NA,50.818,3900.558
NA,54.818,3900.558
NA,58.818,3900.558
NA,62.818,3900.558
NA,66.818,3900.558
NA,70.818,3900.558
NA,74.818,3900.558
NA,78.818,3900.558
NA,82.818,3900.558
NA,86.818,3900.558
NA,90.818,3900.558
NA,94.818,3900.558
NA,98.818,3900.558
NA,102.818,3900.558
NA,106.818,3900.558
NA,110.818,3900.558
NA,114.818,3900.558
NA,118.818,3900.558
NA,122.818,3900.558
NA,126.818,3900.558
NA,130.818,3900.558
NA,134.818,3900.558
NA,138.818,3900.558
NA,142.818,3900.558
NA,146.818,3900.558
NA,150.818,3900.558
NA,154.818,3900.558
NA,158.818,3900.558
NA,162.818,3900.558
NA,166.818,3900.558
NA,170.818,3900.558
NA,174.818,3900.558
NA,178.818,3900.558
NA,182.818,3900.558
NA,186.818,3900.558
NA,190.818,3900.558
NA,194.818,3900.558
NA,198.818,3900.558
NA,202.818,3900.558
NA,206.818,3900.558
NA,210.818,3900.558
NA,214.818,3900.558
NA,218.818,3900.558
NA,222.818,3900.558
NA,226.818,3900.558
NA,230.818,3900.558
NA,234.818,3900.558
NA,238.818,3900.558
NA,242.818,3900.558
NA,246.818,3900.558
NA,250.818,3900.558
NA,254.818,3900.558
NA,258.818,3900.558
NA,262.818,3900.558
NA,266.818,3900.558
NA,270.818,3900.558
NA,274.818,3900.558
NA,278.818,3900.558
NA,282.818,3900.558
NA,286.818,3900.558
NA,290.818,3900.558
NA,294.818,3900.558
NA,298.818,3900.558
NA,302.818,3900.558
NA,306.818,3900.558
NA,310.818,3900.558
NA,314.818,3900.558
NA,318.818,3900.558
NA,322.818,3900.558
NA,326.818,3900.558
NA,330.818,3900.558
NA,334.818,3900.558
NA,338.818,3900.558
NA,342.818,3900.558
NA,346.818,3900.558
NA,350.818,3900.558
NA,354.818,3900.558
NA,358.818,3900.558
NA,362.818,3900.558
NA,366.818,3900.558
NA,370.818,3900.558
NA,374.818,3900.558
