"UTMX","UTMY"
930.231,4714.389
930.260,4714.329
930.371,4714.183
930.455,4714.074
930.607,4713.908
930.622,4713.892
930.649,4713.863
930.730,4713.776
930.773,4713.737
930.791,4713.722
931.242,4713.363
931.981,4712.744
932.172,4712.569
932.199,4712.538
932.225,4712.509
932.262,4712.472
932.299,4712.441
932.648,4712.159
935.229,4710.264
935.420,4710.129
936.066,4709.675
936.378,4709.467
937.317,4708.860
937.918,4708.476
938.436,4708.175
938.631,4708.060
939.116,4707.759
939.802,4707.324
941.395,4706.362
941.469,4706.318
942.340,4705.832
942.436,4705.783
943.208,4705.563
943.887,4705.297
944.174,4704.992
944.207,4704.919
944.248,4704.777
944.253,4704.757
944.331,4704.638
944.563,4704.358
944.623,4704.294
944.675,4704.247
944.932,4704.087
944.963,4704.069
945.577,4703.731
945.639,4703.331
945.686,4703.012
945.708,4702.854
945.720,4702.769
945.648,4702.757
945.668,4702.598
945.744,4702.459
945.978,4702.042
946.303,4701.715
946.969,4700.751
946.984,4700.678
946.996,4700.618
947.058,4700.370
947.071,4700.329
947.093,4700.289
947.127,4700.241
947.194,4700.164
948.481,4698.811
948.807,4698.587
950.381,4697.349
951.233,4696.748
951.485,4696.554
951.850,4696.313
951.897,4696.301
952.106,4696.186
952.123,4696.176
952.184,4696.118
952.844,4695.407
952.861,4695.382
952.895,4695.340
952.917,4695.320
952.991,4695.259
953.109,4695.162
953.310,4694.999
953.338,4694.978
953.468,4694.883
953.482,4694.875
953.566,4694.829
953.597,4694.813
953.621,4694.803
953.651,4694.792
953.765,4694.693
953.805,4694.652
953.819,4694.637
953.874,4694.458
953.881,4694.411
953.885,4694.374
953.882,4694.318
953.858,4694.177
953.759,4693.818
953.769,4693.738
953.765,4693.697
953.765,4693.491
953.770,4693.458
953.788,4693.383
953.826,4693.307
953.932,4693.149
954.441,4692.524
954.558,4692.425
954.828,4692.235
955.125,4692.047
955.222,4691.989
955.581,4691.773
955.767,4691.675
955.964,4691.572
956.556,4691.277
956.669,4691.228
956.927,4691.139
957.113,4691.050
957.364,4690.924
957.381,4690.914
957.408,4690.896
957.511,4690.828
957.663,4690.769
957.924,4690.442
957.964,4690.408
958.064,4690.327
958.507,4690.019
958.728,4689.892
959.171,4689.645
961.513,4688.409
962.158,4688.090
962.956,4687.735
964.118,4687.219
964.630,4687.019
964.934,4686.912
965.089,4686.858
966.025,4686.588
966.117,4686.575
966.189,4686.569
966.238,4686.571
966.346,4686.574
966.392,4686.515
966.863,4686.307
967.006,4686.250
967.285,4686.143
970.756,4684.893
970.898,4684.864
971.724,4684.715
971.732,4684.717
971.766,4684.736
971.860,4684.799
971.982,4684.884
972.011,4684.914
971.990,4684.950
971.828,4685.183
971.761,4685.311
971.788,4685.324
972.117,4684.932
972.175,4684.862
972.192,4684.841
972.243,4684.729
972.300,4684.521
972.632,4683.070
972.655,4682.947
972.660,4682.913
972.657,4682.760
972.628,4682.691
972.617,4682.665
972.532,4682.516
972.504,4682.470
972.477,4682.451
972.454,4682.411
972.434,4682.336
972.436,4682.281
972.676,4680.587
972.688,4680.515
972.700,4680.489
972.739,4680.418
972.754,4680.393
972.775,4680.365
972.879,4680.250
972.957,4680.181
972.994,4680.161
973.007,4680.141
973.025,4680.110
973.098,4679.611
973.101,4679.575
973.100,4679.547
973.095,4679.484
973.068,4679.203
972.945,4678.168
972.937,4678.134
972.903,4678.076
972.875,4678.042
972.859,4678.027
972.848,4678.000
972.838,4677.960
972.823,4677.832
972.812,4677.583
972.823,4677.525
972.848,4677.432
972.876,4677.359
972.912,4677.286
972.947,4677.228
973.125,4676.984
973.181,4676.911
973.415,4676.629
973.494,4676.549
973.655,4676.393
973.780,4676.281
974.286,4675.838
974.464,4675.696
974.518,4675.653
974.755,4675.466
975.031,4675.261
975.182,4675.150
975.200,4675.138
975.218,4675.127
975.808,4674.758
976.212,4674.605
976.994,4674.196
977.508,4674.002
977.559,4673.991
978.208,4673.719
979.229,4673.420
979.291,4673.418
979.302,4673.417
979.634,4673.240
979.812,4673.121
979.833,4673.068
979.886,4672.960
979.917,4672.928
979.959,4672.890
980.002,4672.852
980.078,4672.788
980.158,4672.733
980.401,4672.567
980.501,4672.511
981.099,4672.192
981.621,4671.917
981.664,4671.894
981.831,4671.811
982.232,4671.615
982.439,4671.515
982.474,4671.486
982.548,4671.426
982.565,4671.413
982.683,4671.347
983.328,4671.017
983.371,4670.996
984.003,4670.714
985.067,4670.245
985.240,4670.173
985.352,4670.127
985.372,4670.119
985.397,4670.113
985.480,4670.096
985.705,4669.999
986.102,4669.844
986.724,4669.609
987.632,4669.293
987.755,4669.255
987.838,4669.229
988.268,4669.096
988.372,4669.068
988.568,4669.020
988.751,4668.984
988.890,4668.945
989.331,4668.838
989.879,4668.706
990.087,4668.667
990.561,4668.583
990.802,4668.541
992.889,4668.195
994.435,4667.945
996.433,4667.717
997.160,4666.604
997.193,4666.546
997.291,4666.384
997.346,4666.318
997.404,4666.261
997.414,4666.252
997.809,4666.013
998.270,4665.782
998.481,4665.725
998.584,4665.704
998.845,4665.607
998.886,4665.590
998.901,4665.582
999.404,4665.282
999.468,4665.139
999.495,4665.141
999.880,4664.936
999.951,4664.888
1002.233,4663.095
1002.336,4663.007
1002.442,4662.828
1002.429,4662.741
1002.353,4662.705
1002.357,4662.662
1002.413,4662.596
1002.509,4662.499
1003.796,4661.467
1003.867,4661.414
1004.013,4661.315
1004.097,4661.268
1004.478,4661.096
1004.897,4660.910
1005.279,4660.759
1005.363,4660.732
1005.588,4660.660
1005.789,4660.600
1006.739,4660.353
1007.067,4660.277
1007.751,4660.160
1007.950,4660.127
1008.593,4660.054
1009.026,4659.887
1010.317,4659.705
1011.218,4659.608
1011.546,4659.579
1011.961,4659.557
1012.635,4659.523
1012.797,4659.517
1013.240,4659.501
1014.171,4659.477
1014.274,4659.476
1014.874,4659.479
1016.475,4659.550
1016.529,4659.550
1017.099,4659.598
1017.263,4659.613
1017.494,4659.640
1019.777,4659.919
1020.452,4660.007
1021.452,4660.086
1021.924,4660.111
1022.847,4660.085
1023.364,4660.069
1023.546,4660.061
1024.480,4660.003
1025.525,4659.984
1026.245,4659.704
1026.282,4659.616
1026.305,4659.586
1026.438,4659.441
1026.658,4659.249
1027.040,4658.975
1027.126,4658.917
1027.275,4658.846
1027.582,4658.738
1027.916,4658.652
1028.256,4658.606
1028.531,4658.573
1028.772,4658.552
1029.418,4658.536
1029.670,4658.537
1030.288,4658.540
1030.568,4658.558
1031.170,4658.604
1031.475,4658.630
1032.572,4658.741
1033.465,4658.882
1034.939,4659.144
1035.717,4659.284
1035.787,4659.297
1036.284,4659.405
1038.102,4659.812
1039.073,4660.053
1039.370,4660.128
1041.242,4660.627
1043.070,4661.147
1043.855,4661.376
1045.398,4661.815
1046.572,4662.137
1046.665,4662.164
1047.829,4662.506
1048.296,4662.650
1048.429,4662.703
1049.259,4662.982
1049.334,4662.992
1050.348,4663.066
1050.406,4663.068
1050.434,4663.067
1050.866,4663.017
1051.098,4662.837
1051.101,4662.826
1051.109,4662.818
1051.304,4662.723
1051.336,4662.713
1051.935,4662.534
1051.957,4662.529
1052.025,4662.523
1052.060,4662.521
1052.206,4662.524
1052.247,4662.529
1052.364,4662.570
1052.912,4662.598
1052.874,4662.453
1052.882,4662.415
1052.921,4662.354
1052.951,4662.324
1053.414,4662.038
1053.500,4662.013
1053.639,4661.985
1053.785,4661.972
1053.907,4661.962
1054.383,4661.945
1054.639,4661.947
1055.147,4661.974
1055.414,4661.994
1055.932,4662.039
1056.235,4662.076
1057.271,4662.202
1057.616,4662.258
1058.415,4662.380
1058.874,4662.430
1059.886,4662.594
1062.127,4663.002
1064.486,4663.476
1065.587,4663.710
1066.206,4663.845
1069.077,4664.464
1069.604,4664.602
1071.900,4665.043
1073.986,4665.542
1074.116,4665.574
1074.225,4665.601
1074.626,4665.714
1074.932,4665.802
1075.031,4665.852
1077.256,4666.535
1078.229,4666.812
1078.547,4666.904
1079.057,4667.078
1079.373,4667.207
1079.439,4667.288
1079.449,4667.307
1079.460,4667.328
1079.507,4667.446
1079.500,4667.458
1079.527,4667.497
1079.845,4667.650
1079.970,4667.673
1080.060,4667.647
1080.228,4667.590
1080.258,4667.564
1080.262,4667.532
1080.271,4667.497
1080.284,4667.489
1080.321,4667.487
1080.338,4667.489
1080.507,4667.515
1080.708,4667.563
1080.786,4667.592
1080.916,4667.646
1081.058,4667.747
1081.140,4667.826
1081.165,4667.873
1081.187,4667.942
1081.142,4668.002
1081.334,4668.117
1081.580,4668.099
1081.978,4668.015
1082.064,4667.987
1082.260,4667.905
1082.273,4667.881
1082.311,4667.812
1082.344,4667.735
1082.362,4667.672
1082.493,4667.673
1082.505,4667.673
1083.244,4667.718
1083.295,4667.722
1083.352,4667.727
1083.518,4667.742
1083.835,4667.831
1084.195,4667.901
1084.498,4667.920
1085.142,4667.863
1085.183,4667.868
1085.254,4667.879
1085.279,4667.886
1085.288,4667.894
1085.291,4667.923
1085.290,4667.991
1085.274,4668.135
1085.259,4668.246
1085.261,4668.277
1085.277,4668.292
1085.403,4668.301
1085.414,4668.295
1085.400,4668.252
1085.399,4668.231
1085.518,4667.891
1085.532,4667.874
1085.817,4667.748
1086.701,4667.458
1086.756,4667.453
1086.769,4667.453
1086.781,4667.454
1087.355,4667.579
1087.880,4667.342
1087.986,4667.197
1087.970,4667.188
1087.968,4667.129
1087.979,4667.082
1088.053,4666.949
1088.098,4666.874
1088.151,4666.806
1088.262,4666.720
