"Station.ID","Date","Data","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
IT0063A,"01/01/2022",NA,13.53,625.172,4755.201,5.3,286.6,637.2,660.4,0.01,31219.7,32.0,1.837e+01,1.306e-01,0.000e+00,2.671e+03,5.541e-02,1.178e-01,1.078e-01,1.175e-01
IT0187A,"01/01/2022",NA,63.15,706.513,4968.776,2.0,279.5,101.0,243.3,0.00,98566.0,6.0,2.216e+01,1.611e-01,2.929e+04,1.464e+04,2.496e-01,1.756e-01,3.508e-01,4.062e-03
IT0448A,"01/01/2022",NA,66.58,759.225,5036.001,1.6,277.6,160.9,128.0,0.01,69946.7,0.0,1.164e+01,9.803e-02,9.164e+03,0.000e+00,9.948e-02,7.831e-02,1.528e-03,4.719e-03
IT0459A,"01/01/2022",NA,35.02,850.465,4836.491,1.9,283.0,88.4,187.8,0.00,31998.9,18.0,8.282e+00,4.934e-02,0.000e+00,4.325e+04,8.178e-02,8.039e-02,6.873e-01,2.542e-02
IT0461A,"01/01/2022",NA,35.55,853.940,4840.510,2.9,282.7,103.2,203.2,0.00,37980.2,2.0,1.445e+01,9.453e-02,4.555e+03,3.116e+04,8.774e-02,6.898e-02,3.008e-01,1.131e-02
IT0462A,"01/01/2022",NA,35.26,852.557,4840.746,2.7,282.6,101.5,202.2,0.00,37281.4,2.0,1.404e+01,9.128e-02,5.893e+03,3.483e+04,8.764e-02,7.916e-02,3.380e-01,1.452e-02
IT0463A,"01/01/2022",NA,35.69,854.217,4839.102,2.7,282.8,99.3,200.0,0.00,36355.5,85.0,1.151e+01,7.300e-02,3.418e+03,4.158e+04,8.092e-02,7.114e-02,4.456e-01,1.304e-02
IT0469A,"01/01/2022",NA,79.75,395.959,4992.221,1.1,281.8,28.1,65.8,0.00,699495.5,243.0,5.178e+01,4.294e-01,8.394e+04,2.787e+03,5.750e-01,2.432e-01,1.770e-02,4.376e-02
IT0470A,"01/01/2022",NA,77.40,397.359,4995.339,1.1,282.3,31.5,69.8,0.00,434920.8,233.0,4.612e+01,3.504e-01,6.642e+04,4.546e+04,4.199e-01,3.384e-01,1.160e-01,2.998e-02
IT0499A,"01/01/2022",50.39,8.52,642.335,5164.557,2.1,275.7,69.6,117.0,0.00,6867.4,634.0,2.049e+00,1.682e-02,1.064e+04,0.000e+00,2.172e-02,7.195e-03,2.397e-01,6.780e-01
IT0502A,"01/01/2022",NA,22.28,679.749,5150.302,0.5,285.7,19.4,136.9,0.00,109758.6,253.0,1.234e+01,9.618e-02,3.231e+04,3.087e+04,1.318e-01,6.610e-02,3.024e-01,4.476e-01
IT0507A,"01/01/2022",35.24,13.21,702.844,5176.906,0.5,280.5,32.2,164.2,0.00,25395.8,563.0,5.786e+00,4.635e-02,1.496e+04,2.004e+04,5.755e-02,1.297e-02,2.085e-01,5.885e-01
IT0508A,"01/01/2022",27.68,13.07,724.660,5186.854,0.9,280.0,15.5,160.8,0.00,22290.3,836.0,5.916e+00,5.056e-02,2.091e+04,0.000e+00,6.856e-02,1.982e-02,2.159e-01,5.355e-01
IT0524A,"01/01/2022",NA,77.14,540.314,5043.317,0.6,278.2,94.7,141.1,0.00,67455.2,144.0,1.543e+01,1.022e-01,2.519e+04,1.532e+04,1.643e-01,5.834e-02,7.075e-01,1.946e-02
IT0544A,"01/01/2022",NA,31.48,565.639,4963.722,0.7,283.1,34.4,81.6,0.00,6731.2,222.0,2.388e+00,2.211e-02,0.000e+00,0.000e+00,2.170e-02,9.503e-03,2.524e-01,2.478e-01
IT0591A,"01/01/2022",NA,24.99,658.221,5084.119,0.3,282.2,39.7,99.6,0.00,51155.2,194.0,1.052e+01,8.387e-02,2.360e+04,2.210e+04,1.213e-01,3.371e-02,1.800e-01,4.443e-01
IT0594A,"01/01/2022",NA,68.05,595.527,5043.761,1.2,282.5,43.0,95.0,0.00,182383.0,179.0,3.244e+01,2.359e-01,8.729e+03,5.001e+04,3.400e-01,1.726e-01,2.024e-01,2.149e-01
IT0611A,"01/01/2022",NA,17.99,1044.295,4132.736,1.2,289.8,46.6,185.4,0.00,7814.3,243.0,6.648e+00,5.165e-02,0.000e+00,1.736e+04,1.544e-02,9.942e-02,3.015e-01,3.878e-01
IT0614A,"01/01/2022",NA,19.27,1050.002,4130.178,1.3,289.1,53.8,155.5,0.00,12609.9,18.0,1.726e+01,1.457e-01,0.000e+00,1.912e+04,3.234e-02,1.972e-01,1.593e-01,1.725e-01
IT0618A,"01/01/2022",NA,15.95,1052.181,4137.272,1.8,288.2,82.2,120.3,0.00,26371.5,15.0,2.046e+01,1.805e-01,0.000e+00,0.000e+00,9.734e-02,7.237e-02,6.695e-02,2.116e-02
IT0620A,"01/01/2022",NA,18.04,1056.797,4124.190,1.4,288.4,66.0,117.6,0.00,100834.8,70.0,2.673e+01,2.217e-01,3.509e+04,5.371e+03,1.858e-01,9.712e-02,1.291e-01,9.163e-02
IT0623A,"01/01/2022",NA,75.17,508.235,5030.972,0.8,279.6,77.3,111.4,0.00,335540.3,115.0,3.564e+01,2.430e-01,2.801e+04,3.279e+04,3.831e-01,1.954e-01,3.789e-01,0.000e+00
IT0643A,"01/01/2022",NA,32.43,469.370,4972.648,1.5,285.4,66.1,177.6,0.00,68133.1,95.0,1.464e+01,8.365e-02,1.842e+04,6.058e+04,1.145e-01,1.027e-01,6.916e-01,7.103e-03
IT0663A,"01/01/2022",NA,31.90,684.347,5065.050,0.2,286.4,24.3,69.0,0.00,56224.8,189.0,1.562e+01,1.275e-01,3.052e+04,0.000e+00,1.721e-01,6.608e-02,2.794e-01,3.020e-01
IT0692A,"01/01/2022",28.65,41.37,492.570,4994.249,2.5,282.6,89.5,190.6,0.00,9091.6,82.0,6.173e+00,3.547e-02,0.000e+00,0.000e+00,4.133e-02,5.389e-02,7.533e-01,8.122e-02
IT0702A,"01/01/2022",NA,54.26,628.698,4950.878,1.0,280.7,25.8,138.6,0.00,126006.6,56.0,2.249e+01,2.027e-01,3.697e+04,2.679e+04,2.521e-01,1.570e-01,5.372e-01,0.000e+00
IT0703A,"01/01/2022",NA,22.95,689.831,5102.735,0.8,284.0,19.5,129.9,0.00,15757.2,389.0,4.092e+00,3.779e-02,5.426e+02,1.932e+04,7.327e-02,1.440e-02,1.191e-01,5.912e-01
IT0705A,"01/01/2022",NA,77.92,515.310,5034.380,0.6,279.3,85.4,114.7,0.00,823124.0,117.0,6.297e+01,4.893e-01,8.286e+04,1.885e+04,7.704e-01,1.503e-01,6.192e-02,0.000e+00
IT0706A,"01/01/2022",NA,75.25,525.594,5036.635,0.2,278.8,96.2,128.6,0.00,116964.3,114.0,2.674e+01,1.490e-01,2.509e+04,3.330e+04,1.804e-01,2.179e-01,4.878e-01,0.000e+00
IT0707A,"01/01/2022",NA,51.96,550.135,5059.838,0.8,282.6,21.7,83.3,0.00,182980.1,233.0,3.624e+01,2.520e-01,1.882e+04,6.512e+04,3.568e-01,1.588e-01,2.873e-01,7.591e-02
IT0709A,"01/01/2022",NA,66.40,641.773,5000.578,1.6,278.4,120.7,172.4,0.00,71541.1,22.0,2.207e+01,1.319e-01,4.537e+04,1.665e+04,2.106e-01,1.416e-01,4.742e-01,4.528e-02
IT0721A,"01/01/2022",NA,60.64,651.070,4944.286,1.1,279.7,63.4,119.8,0.00,156421.7,38.0,2.742e+01,2.101e-01,9.717e+03,7.373e+04,2.679e-01,1.558e-01,5.418e-01,0.000e+00
IT0732A,"01/01/2022",NA,40.35,484.792,5075.857,0.8,284.7,22.4,106.5,0.00,94469.9,420.0,1.510e+01,1.094e-01,2.305e+04,1.559e+03,3.674e-01,2.365e-02,1.241e-02,4.005e-01
IT0737A,"01/01/2022",NA,24.63,581.030,5062.755,0.2,286.3,25.6,74.2,0.00,8513.8,359.0,1.945e+00,1.284e-02,0.000e+00,0.000e+00,2.144e-02,4.729e-03,1.492e-02,3.793e-01
IT0740A,"01/01/2022",NA,23.89,593.559,5056.418,0.3,286.6,16.9,77.4,0.00,50002.1,273.0,9.106e+00,7.367e-02,0.000e+00,0.000e+00,1.118e-01,2.538e-02,1.232e-02,7.872e-01
IT0741A,"01/01/2022",NA,59.50,601.972,5011.421,1.5,280.3,123.2,232.0,0.00,10715.4,47.0,4.971e+00,2.758e-02,7.382e+03,0.000e+00,4.819e-02,0.000e+00,9.360e-01,0.000e+00
IT0742A,"01/01/2022",NA,24.12,608.003,5054.922,0.7,286.9,14.0,82.5,0.00,12514.4,414.0,4.687e+00,2.978e-02,0.000e+00,5.093e+03,5.068e-02,1.464e-02,0.000e+00,6.966e-01
IT0753A,"01/01/2022",NA,29.64,643.101,5083.643,0.5,281.5,31.5,88.3,0.00,33330.7,80.0,7.968e+00,5.734e-02,5.111e+04,0.000e+00,1.035e-01,1.676e-02,6.320e-02,5.072e-01
IT0755A,"01/01/2022",NA,52.07,744.160,4900.296,0.7,280.0,21.4,166.2,0.00,98053.3,25.0,2.096e+01,1.888e-01,2.265e+04,2.901e+04,2.262e-01,1.159e-01,2.526e-01,3.208e-03
IT0761A,"01/01/2022",NA,77.71,514.271,5032.866,0.6,279.3,84.5,106.9,0.00,701333.1,113.0,5.358e+01,4.159e-01,6.096e+04,1.033e+04,6.691e-01,1.241e-01,1.912e-01,0.000e+00
IT0771A,"01/01/2022",NA,46.43,506.497,5072.323,0.5,284.6,19.1,83.8,0.00,119900.2,200.0,2.074e+01,1.576e-01,3.907e+04,2.527e+04,3.193e-01,6.020e-02,3.696e-02,4.009e-01
IT0775A,"01/01/2022",NA,24.23,529.738,5109.366,0.5,286.4,16.7,95.2,0.00,14513.6,239.0,6.074e+00,0.000e+00,1.485e+04,2.095e+04,8.665e-02,2.533e-02,1.671e-01,4.108e-01
IT0776A,"01/01/2022",NA,35.59,531.045,5078.987,0.1,286.9,20.6,47.5,0.00,78053.7,275.0,1.177e+01,8.511e-02,2.007e+04,3.063e+04,1.776e-01,6.467e-02,1.056e-02,5.280e-01
IT0777A,"01/01/2022",NA,64.58,531.623,5060.570,0.9,281.8,47.3,118.5,0.00,77831.4,278.0,1.885e+01,1.293e-01,1.861e+04,0.000e+00,2.379e-01,4.600e-02,1.920e-01,1.652e-01
IT0778A,"01/01/2022",60.42,75.85,546.188,5040.703,0.9,278.2,98.2,106.8,0.00,55891.7,123.0,1.645e+01,9.812e-02,2.522e+04,2.296e+04,1.228e-01,8.465e-02,7.745e-01,2.440e-03
IT0794A,"01/01/2022",NA,16.06,1052.140,4244.932,4.4,286.8,247.3,565.2,0.05,32096.4,109.0,1.216e+01,9.626e-02,1.332e+04,1.977e+04,1.015e-01,6.689e-02,4.015e-01,9.136e-02
IT0804A,"01/01/2022",NA,57.04,605.332,4960.886,0.9,279.6,70.6,75.5,0.00,147926.0,61.0,2.600e+01,1.961e-01,1.405e+04,4.660e+04,2.711e-01,1.836e-01,5.167e-01,1.271e-02
IT0813A,"01/01/2022",NA,12.46,967.195,4115.609,2.1,290.0,32.1,153.6,0.00,73854.8,9.0,2.033e+01,1.551e-01,1.642e+04,0.000e+00,1.428e-01,1.100e-01,3.720e-01,6.535e-03
IT0817A,"01/01/2022",NA,13.63,979.349,4124.715,1.6,291.5,20.6,232.4,0.00,27605.6,299.0,3.861e+00,2.491e-02,0.000e+00,0.000e+00,3.337e-02,0.000e+00,4.483e-01,4.760e-02
IT0825A,"01/01/2022",NA,26.65,787.596,4649.766,0.8,287.6,47.1,330.1,0.00,388167.1,35.0,3.193e+01,2.594e-01,6.997e+04,4.093e+04,4.513e-01,2.129e-01,1.693e-01,3.250e-02
IT0828A,"01/01/2022",NA,32.23,791.154,4642.750,1.0,287.1,54.1,285.9,0.00,739240.2,41.0,5.252e+01,4.131e-01,7.595e+04,1.644e+04,6.934e-01,1.171e-01,7.688e-02,0.000e+00
IT0832A,"01/01/2022",NA,40.60,732.712,4816.197,0.9,282.4,20.1,243.6,0.01,74320.9,258.0,1.193e+01,8.777e-02,2.890e+04,0.000e+00,1.376e-01,6.952e-02,3.579e-01,1.421e-01
