"Grid.ID","Date","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
"3628","06-Jul-2022",14.95,734.818,5216.558,2.6,284.2,34.9,1392.7,0.02,640.1,2380.0,1.579e-01,4.505e-04,7.128e+03,0.000e+00,0.000e+00,0.000e+00,3.831e-02,7.123e-01
"3629","06-Jul-2022",9.30,738.818,5216.558,2.8,282.9,26.6,1310.9,0.03,539.2,1704.0,9.041e-02,2.972e-04,4.107e+03,0.000e+00,0.000e+00,0.000e+00,2.483e-02,8.669e-01
"3630","06-Jul-2022",8.58,742.818,5216.558,2.7,282.6,24.3,1290.6,0.05,16.3,2712.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.110e-03,7.947e-01
"4009","06-Jul-2022",8.49,722.818,5212.558,2.2,286.8,90.1,1700.0,0.04,684.9,2553.0,1.718e-01,1.560e-03,2.133e+03,0.000e+00,0.000e+00,0.000e+00,3.069e-02,6.591e-01
"4010","06-Jul-2022",13.30,726.818,5212.558,2.2,286.4,90.8,1618.2,0.02,2388.6,1899.0,6.519e-01,5.251e-03,8.445e+03,0.000e+00,1.094e-02,0.000e+00,6.834e-02,7.660e-01
"4011","06-Jul-2022",20.24,730.818,5212.558,2.4,285.7,75.6,1526.8,0.01,1636.0,1503.0,3.891e-01,2.092e-03,1.044e+04,0.000e+00,8.120e-03,0.000e+00,6.195e-02,8.722e-01
"4012","06-Jul-2022",17.90,734.818,5212.558,2.6,284.7,58.9,1443.9,0.01,1145.4,1731.0,2.147e-01,7.804e-04,1.007e+04,0.000e+00,0.000e+00,0.000e+00,5.682e-02,9.133e-01
"4013","06-Jul-2022",12.81,738.818,5212.558,2.7,283.5,40.7,1363.8,0.01,578.0,2947.0,1.286e-01,3.536e-04,5.797e+03,0.000e+00,0.000e+00,0.000e+00,3.230e-02,7.773e-01
"4385","06-Jul-2022",8.91,690.818,5208.558,2.5,287.9,90.9,1293.5,0.01,261.9,1521.0,1.469e+00,3.073e-03,8.300e+03,1.480e+04,0.000e+00,1.311e-02,7.253e-03,5.701e-01
"4387","06-Jul-2022",8.06,698.818,5208.558,2.4,286.8,86.8,1562.8,0.01,277.9,2319.0,1.039e-01,8.344e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.683e-02,6.135e-01
"4392","06-Jul-2022",8.09,718.818,5208.558,1.7,287.5,64.9,1890.9,0.08,1225.2,2523.0,4.582e-01,3.602e-03,2.839e+03,0.000e+00,4.644e-03,0.000e+00,4.712e-02,7.870e-01
