"Grid.ID","Date","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
"3628","07-Jan-2022",4.24,734.818,5216.558,1.4,264.8,12.9,138.5,0.05,640.1,2380.0,1.579e-01,4.505e-04,7.128e+03,0.000e+00,0.000e+00,0.000e+00,3.831e-02,7.123e-01
"3629","07-Jan-2022",3.99,738.818,5216.558,1.5,263.7,12.4,120.5,0.05,539.2,1704.0,9.041e-02,2.972e-04,4.107e+03,0.000e+00,0.000e+00,0.000e+00,2.483e-02,8.669e-01
"3630","07-Jan-2022",3.88,742.818,5216.558,1.4,263.9,12.1,113.2,0.05,16.3,2712.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.110e-03,7.947e-01
"4009","07-Jan-2022",5.83,722.818,5212.558,1.0,265.1,20.4,172.8,0.04,684.9,2553.0,1.718e-01,1.560e-03,2.133e+03,0.000e+00,0.000e+00,0.000e+00,3.069e-02,6.591e-01
"4010","07-Jan-2022",5.44,726.818,5212.558,1.0,265.4,16.8,161.0,0.04,2388.6,1899.0,6.519e-01,5.251e-03,8.445e+03,0.000e+00,1.094e-02,0.000e+00,6.834e-02,7.660e-01
"4011","07-Jan-2022",4.73,730.818,5212.558,1.1,265.4,14.1,147.8,0.04,1636.0,1503.0,3.891e-01,2.092e-03,1.044e+04,0.000e+00,8.120e-03,0.000e+00,6.195e-02,8.722e-01
"4012","07-Jan-2022",4.33,734.818,5212.558,1.2,264.7,13.2,133.7,0.04,1145.4,1731.0,2.147e-01,7.804e-04,1.007e+04,0.000e+00,0.000e+00,0.000e+00,5.682e-02,9.133e-01
"4013","07-Jan-2022",4.03,738.818,5212.558,1.3,263.8,12.8,119.5,0.04,578.0,2947.0,1.286e-01,3.536e-04,5.797e+03,0.000e+00,0.000e+00,0.000e+00,3.230e-02,7.773e-01
"4385","07-Jan-2022",7.50,690.818,5208.558,0.5,266.3,29.8,168.3,0.02,261.9,1521.0,1.469e+00,3.073e-03,8.300e+03,1.480e+04,0.000e+00,1.311e-02,7.253e-03,5.701e-01
"4387","07-Jan-2022",5.69,698.818,5208.558,0.5,265.6,23.6,201.6,0.02,277.9,2319.0,1.039e-01,8.344e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.683e-02,6.135e-01
