"Station.ID","Date","Data","ENS","UTMX","UTMY","WS","T2","PBL00","PBL12","TP","POP","ALT","Imperviousness","Builtup","roads","highways","HUD","LUD","Agriculture","Forests"
IT0063A,"04/07/2022",NA,23.18,625.172,4755.201,5.9,300.3,240.7,211.6,0.00,31219.7,32.0,1.837e+01,1.306e-01,0.000e+00,2.671e+03,5.541e-02,1.178e-01,1.078e-01,1.175e-01
IT0187A,"04/07/2022",35.00,22.25,706.513,4968.776,1.2,308.6,54.5,2028.3,0.05,98566.0,6.0,2.216e+01,1.611e-01,2.929e+04,1.464e+04,2.496e-01,1.756e-01,3.508e-01,4.062e-03
IT0448A,"04/07/2022",38.00,63.84,759.225,5036.001,2.8,301.6,47.0,118.0,0.00,69946.7,0.0,1.164e+01,9.803e-02,9.164e+03,0.000e+00,9.948e-02,7.831e-02,1.528e-03,4.719e-03
IT0459A,"04/07/2022",36.47,20.16,850.465,4836.491,3.6,305.3,16.2,641.1,0.00,31998.9,18.0,8.282e+00,4.934e-02,0.000e+00,4.325e+04,8.178e-02,8.039e-02,6.873e-01,2.542e-02
IT0461A,"04/07/2022",NA,20.55,853.940,4840.510,3.7,303.0,19.7,329.9,0.00,37980.2,2.0,1.445e+01,9.453e-02,4.555e+03,3.116e+04,8.774e-02,6.898e-02,3.008e-01,1.131e-02
IT0462A,"04/07/2022",NA,20.48,852.557,4840.746,3.7,303.1,19.3,322.6,0.00,37281.4,2.0,1.404e+01,9.128e-02,5.893e+03,3.483e+04,8.764e-02,7.916e-02,3.380e-01,1.452e-02
IT0463A,"04/07/2022",NA,20.48,854.217,4839.102,3.8,303.7,18.7,414.9,0.00,36355.5,85.0,1.151e+01,7.300e-02,3.418e+03,4.158e+04,8.092e-02,7.114e-02,4.456e-01,1.304e-02
IT0469A,"04/07/2022",NA,21.73,395.959,4992.221,1.3,305.1,188.2,1572.2,0.09,699495.5,243.0,5.178e+01,4.294e-01,8.394e+04,2.787e+03,5.750e-01,2.432e-01,1.770e-02,4.376e-02
IT0470A,"04/07/2022",26.00,21.23,397.359,4995.339,0.8,304.8,180.7,1593.7,0.07,434920.8,233.0,4.612e+01,3.504e-01,6.642e+04,4.546e+04,4.199e-01,3.384e-01,1.160e-01,2.998e-02
IT0499A,"04/07/2022",13.86,9.80,642.335,5164.557,0.7,289.5,18.8,770.2,0.96,6867.4,634.0,2.049e+00,1.682e-02,1.064e+04,0.000e+00,2.172e-02,7.195e-03,2.397e-01,6.780e-01
IT0502A,"04/07/2022",NA,17.10,679.749,5150.302,1.0,296.9,46.6,800.0,0.32,109758.6,253.0,1.234e+01,9.618e-02,3.231e+04,3.087e+04,1.318e-01,6.610e-02,3.024e-01,4.476e-01
IT0507A,"04/07/2022",12.20,14.60,702.844,5176.906,1.2,292.9,14.8,983.6,0.70,25395.8,563.0,5.786e+00,4.635e-02,1.496e+04,2.004e+04,5.755e-02,1.297e-02,2.085e-01,5.885e-01
IT0508A,"04/07/2022",8.86,10.99,724.660,5186.854,0.9,291.8,31.0,735.2,0.33,22290.3,836.0,5.916e+00,5.056e-02,2.091e+04,0.000e+00,6.856e-02,1.982e-02,2.159e-01,5.355e-01
IT0524A,"04/07/2022",NA,27.04,540.314,5043.317,1.8,306.6,230.4,1592.7,0.00,67455.2,144.0,1.543e+01,1.022e-01,2.519e+04,1.532e+04,1.643e-01,5.834e-02,7.075e-01,1.946e-02
