"Station.ID","UTMX","UTMY"
IT0063A,625.172,4755.201
IT0187A,706.513,4968.776
IT0448A,759.225,5036.001
IT0459A,850.465,4836.491
IT0461A,853.940,4840.510
IT0462A,852.557,4840.746
IT0463A,854.217,4839.102
IT0469A,395.959,4992.221
IT0470A,397.359,4995.339
IT0499A,642.335,5164.557
IT0502A,679.749,5150.302
IT0507A,702.844,5176.906
IT0508A,724.660,5186.854
IT0524A,540.314,5043.317
IT0544A,565.639,4963.722
IT0591A,658.221,5084.119
IT0594A,595.527,5043.761
IT0611A,1044.295,4132.736
IT0614A,1050.002,4130.178
IT0618A,1052.181,4137.272
IT0620A,1056.797,4124.190
IT0623A,508.235,5030.972
IT0643A,469.370,4972.648
IT0663A,684.347,5065.050
IT0692A,492.570,4994.249
IT0702A,628.698,4950.878
IT0703A,689.831,5102.735
IT0705A,515.310,5034.380
IT0706A,525.594,5036.635
IT0707A,550.135,5059.838
IT0709A,641.773,5000.578
IT0721A,651.070,4944.286
IT0732A,484.792,5075.857
IT0737A,581.030,5062.755
IT0740A,593.559,5056.418
IT0741A,601.972,5011.421
IT0742A,608.003,5054.922
IT0753A,643.101,5083.643
IT0755A,744.160,4900.296
IT0761A,514.271,5032.866
IT0771A,506.497,5072.323
IT0775A,529.738,5109.366
IT0776A,531.045,5078.987
IT0777A,531.623,5060.570
IT0778A,546.188,5040.703
IT0794A,1052.140,4244.932
IT0804A,605.332,4960.886
IT0813A,967.195,4115.609
IT0817A,979.349,4124.715
IT0825A,787.596,4649.766
IT0828A,791.154,4642.750
IT0832A,732.712,4816.197
IT0837A,543.366,5053.430
IT0839A,555.209,5023.987
IT0840A,567.771,5014.943
IT0842A,578.998,5014.456
IT0852A,486.148,4919.149
IT0853A,490.938,4918.356
IT0854A,494.218,4918.321
IT0856A,495.303,4917.146
IT0860A,679.544,4850.506
IT0861A,682.868,4849.177
IT0862A,684.056,4850.722
IT0863A,755.799,4701.330
IT0864A,781.554,4687.533
IT0865A,804.491,4611.301
IT0867A,817.483,4701.923
IT0868A,825.122,4598.409
IT0869A,826.806,4597.666
IT0870A,845.069,4630.003
IT0871A,855.023,4623.923
IT0872A,861.764,4611.311
IT0883A,686.976,4851.081
IT0884A,740.327,4671.400
IT0885A,731.772,4663.747
IT0887A,808.674,4656.012
IT0888A,833.033,4627.601
